Data Bencana,,,,,,,,,,,,,,,
No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
3175,1808 101 2022 06 023 1,1805,23-06-22,BANJIR,Kec. rawa pitu Ds. gedung jaya,TULANG BAWANG,LAMPUNG,Dokumentasi,Peningkatan aktivitas pasang surut air laut dan gelombang tinggi di sekitar pesisir,,,,3,,0
3197,1811 101 2022 06 018 1,1811,18-06-22,BANJIR,Kec. rawajitu utara desa panggung rejo,MESUJI,LAMPUNG,Dokumentasi,Kejadian ini terjadi akibat hujan berkelanjutan dan naiknya permukaan air dari muara dan  pendangkalan kanaL sehingga setiap sore hari sampai pagi air Pasang,,,,0,60,0
3730,1801 101 2022 02 06 1,1804,06-02-22,BANJIR,Kec.  Lumbok Seminung Ds. Pekon Kagungan,LAMPUNG BARAT,LAMPUNG,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi di wilayah Kecamatan Lumbok Seminung dan sekitarnya yang terjadi pada siang hingga malam hari mengakibatkan terjadinya banjir yang membawa material tanah dan bebatuan,,,,0,4,0
3773,1801 101 2022 01 025 1,1804,25-01-22,BANJIR,Kec. Way Tenong Ds. Pekon Mutar Alam,LAMPUNG BARAT,LAMPUNG,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,5,0
3775,1804 101 2022 01 024 1,1807,24-01-22,BANJIR,Kec. Batanghari  Ds. Buana Sakti,LAMPUNG TIMUR,LAMPUNG,Dokumentasi,Dipicu oleh hujan deras dengan intensitas curah hujan tinggi di Desa Rejo agung dan buana sakti kecamatan Batanghari banjir diakibatkan luapan dari sungai way sekampung sehingga menutup akses jalan antara Desa  Rejo Agung dan Desa Buana Sakti,,,,0,,0
3782,1805 101 2022 01 023 1,1802,23-01-22,BANJIR,Kec. Padang Ratu Ds. Sendang Ayu Kampung Margorejo,LAMPUNG TENGAH,LAMPUNG,Dokumentasi,? Dipicu hujan dengan intensitas tinggi di Kec. Banyumas mengakibatkan banjir kiriman ke Kec. Padang Ratu,,,,0,10,1
3783,1810 101 2022 01 023 1,1810,23-01-22,BANJIR,Kec. Gadingrejo Kel. Pringsewu Barat,PRINGSEWU,LAMPUNG,Dokumentasi,?Dipicu hujan dengan intensitas tinggi,,,,1,,0
3796,1801 101 2022 01 020 1,1804,20-01-22,BANJIR,Kec. Balik Bukit Ds. Way Mangku,LAMPUNG BARAT,LAMPUNG,Dokumentasi,? Dipicu tingginya intensitas curah hujan di wilayah Kecamatan Balik Bukit dan sekitarnya yang terjadi pada siang hingga malam hari menyebabkan air meluap setinggi ± 60 cm dan merendam 3 (tiga) unit rumah milik warga setempat salah satunya milik Camat Sukau Bapak Hadi Sutanto.,,,,0,3,0
3846,1811 101 2022 01 011 1,1811,11-01-22,BANJIR,Kec. Mesuji Timur Ds. Wonosari Ds. Sungai Cambai Kec. Rawa Jitu Utara Ds. Sungai Sidang  Ds. Panggung Jaya Ds.Telogo Rejo Ds. Bandar Anom,MESUJI,LAMPUNG,Dokumentasi,?Dipicu akibat hujan dengan intensitas ringan hingga lebat yang terjadi di wilayah Kab. Mesuji,,,,0,383,0
3887,1808 101 2022 01 07 1,1805,07-01-22,BANJIR,Kec. Gedung Aji Baru Ds. Mekar Asri Ds. Mesir Dwi Jaya Kec. Penawar Aji Ds. Gedung Asri,TULANG BAWANG,LAMPUNG,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi di hulu sungai Pidada,,,,0,249,0
3893,1811 101 2022 01 06 1,1811,06-01-22,BANJIR,Kec. Mesuji Timur Ds. Talang Batu Dsn. Talang Gunung Dsn. Tebing Tinggi,MESUJI,LAMPUNG,Dokumentasi,?Dipicu hujan dengan intensitas tinggi dan kondisi tanah yang labil,,,,0,173,0
3900,1802 101 2022 01 05 1,1806,05-01-22,BANJIR,Kec. Bandar Negeri Semuong Ds. Gunung Doh Ds. Banding,TANGGAMUS,LAMPUNG,Dokumentasi,? Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,70,0
3919,1811 101 2022 01 02 1,1811,02-01-22,BANJIR,Kec. Way Serdang Ds. Labuan Permai,MESUJI,LAMPUNG,Dokumentasi,"?Dipicu oleh tingginya curah hujan dari dari tanggal 31 januari 2021 sampai 2 januari 2022 dan dangkal serta tersumbatnya  aliran air sungai sehingga mengakibatkan akses jalan, lahan pertanian, perkebunan serta pemukiman warga terendam banjir",,,,0,16,0
3920,1808 101 2022 01 02 1,1805,02-01-22,BANJIR,Kec. Banjar Margo Ds. Ringin Sari Kec.Gedung Aji Baru Ds.Mesir Dwi Jaya  Ds.Mekar Asri Kec.Penawar Aji Ds.Gedung Asri  Ds.Sumber Sari  Ds. Suka Makmur Kec.Rawa Pitu Ds.Sumber Agung,TULANG BAWANG,LAMPUNG,Dokumentasi,? Dipicu hujan yang cukup deras yang mengakibatkan naiknya debit air di sungai yang mengalir pada Kampung Ringin Sari Kecamatan Banjar Margo Kabupaten Tulang Bawang. Kondisi saat ini air sungai bujuk meluap,,,,0,353,0
3941,1804 101 2021 012 30 1,1807,30-12-21,BANJIR,Kec. Jabung  Ds. Mekar Jaya,LAMPUNG TIMUR,LAMPUNG,Dokumentasi,?Dipicu hujan dengan intensitas curah hujan tinggi sehingga meluapnya air sungai way,0,0,0,0,150,0
3943,1801 101 2021 012 30 1,1804,30-12-21,BANJIR,"Pekon Pahayu, Pekon Pagar Dewa Kecamatan Pagar Dewa Kabupaten Lampung Barat",LAMPUNG BARAT,LAMPUNG,Dokumentasi,,0,0,0,6,0,0
3950,1804 101 2021 012 28 1,1807,28-12-21,BANJIR,Kec. Pasir Sakti Ds. Sumur Kucing,LAMPUNG TIMUR,LAMPUNG,Dokumentasi,? Dipicu hujan dengan intensitas curah hujan tinggi sehingga terjadinya luapan air sungai way,0,0,0,0,0,0
3966,1802 101 2021 012 26 1,1806,26-12-21,BANJIR,Desa Kuripan Kecamatan Kota Agung Kabupaten Tanggamus,TANGGAMUS,LAMPUNG,Dokumentasi,,1,0,0,0,0,0
3968,1802 101 2021 012 25 1,1806,25-12-21,BANJIR,Kec. Cukuh Balak Ds. Sukaraja Ds. Gedung Ds. Banjar Negeri  Ds. Tanjung Jati Ds. Tanjung Raja Ds. Putih Doh Ds. Suka Padang.  Ds. Kejadian Lom Ds. Way Rilau  Kec. Kelumbayan Barat Ds. Lengkukai,TANGGAMUS,LAMPUNG,Dokumentasi,"?Intensitas curah hujan yang cukup tinggi menyebabkan Aliran Sungai Way Pertiwi Meluap mengakibatkan Terendamnya Rumah Warga , Persawahan, Perkebunan dan Fasilitas Umum dengan ketinggian air mencapai 50 cm",0,0,0,5,239,0
3970,1809 101 2021 012 25 1,1809,25-12-21,BANJIR,Kec. Marga Punduh Ds. Suka Jaya  Ds.Umbul Limus Ds. Pekon Ampai Ds. Kampung Baru,PESAWARAN,LAMPUNG,Dokumentasi,? Intensitas curah hujan tinggi,0,0,0,177,0,0
4012,1811 101 2021 012 20 1,1811,20-12-21,BANJIR,Kec. Mesuji Ds. Sumber Makmur Ds. Suka Maju Ds. Tanjung Serayan Ds. Tirtalaga Ds. Mulyasari,MESUJI,LAMPUNG,Dokumentasi,? Dipicu oleh hujan dengan intensitas tinggi sejak 17 Des s.d. 20 Des 2021 disertai air laut yang pasang dan tersumbatnya saluran kanal sungai mengakibatkan air sungai meluap ke pemukiman warga,0,0,0,0,460,0
4045,1803 101 2021 012 16 1,1801,16-12-21,BANJIR,Kec. Katibung Ds. Rangai Tri Tunggal,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,?dipicu oleh Hujan deras yang terjadi dari pukul 12:00 WIB mengakibatkan genangan yang merendam rumah warga desa Rangai Tri Tunggal Kecamatan Katibung Kabupaten Lampung Selatan,0,0,0,0,200,0
4047,1809 101 2021 012 16 1,1809,16-12-21,BANJIR,Kec. Padang Cermin Ds. Banjaran Ds. Padang Cermin Ds. Sanggi Ds. Tambangan Ds. Paya Ds. Trimulyo,PESAWARAN,LAMPUNG,Dokumentasi,?dipicu hujan dengan intensitas lebat di wilayah Kab. Pesawaran yang menyebabkan banjir di Kec. Padang Cermin akibat dari meluapnya Sungai Way Ratai,0,0,0,0,355,0
4049,1802 101 2021 012 16 1,1806,16-12-21,BANJIR,Dusun Picung Dusun Tegal Sari Dusun Tegal Wangi Desa Purwosari Kecamatan Klumbayan Barat Kabupaten Tanggamus,TANGGAMUS,LAMPUNG,Dokumentasi,,0,0,0,210,0,0
4056,1802 101 2021 012 15 1,1806,15-12-21,BANJIR,Klumbayan Barat Kecamatan Klumbayan Kabupaten Tanggamus,TANGGAMUS,LAMPUNG,Dokumentasi,?Dipicu hujan dengan intensitas tinggi disertai struktur tanah yang labil,0,0,0,12,635,0
4095,1803 101 2021 012 10 1,1801,10-12-21,BANJIR,Kec. Natar Ds. Hajimena Ds. Muara Putih Ds. Sidosari Ds. Tanjung Sari Kec. Tanjung Bintang Ds. Budi Lestari,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,?Dipicu akibat hujan dengan intensitas lebat disertai angin kencang pada dan mengakibatkan banjir dan pohon tumbang yang menimpa rumah warga,0,0,0,2,800,0
4101,1804 101 2021 012 9 1,1807,09-12-21,BANJIR,Kec. Raman Utara Ds. Rukti Sedyo Ds. Ratna Daya Ds. Raman Fajar Kec. Sekampung Udik Kec. Bumi Agung Kec. Way Kanan Kec. Batanghari Ds. Kedaton Ds. Truno Mulyo Kec. Way Bungur Ds. Tanjung Tirto,LAMPUNG TIMUR,LAMPUNG,Dokumentasi,dipicu oleh intensitas curah hujan yang cukup tinggi,0,0,0,9,27,0
4103,1805 101 2021 012 9 1,1802,09-12-21,BANJIR,Kec. Gunung Sugih Ds. Buyut Ilir,LAMPUNG TENGAH,LAMPUNG,Dokumentasi,? Dipicu akibat derasnya aliran Sungai Bilu dan mengikis badan jembatan penghubung Gunung Sugih dan Kota Gajah dan menyebabkan jembatan terputus.,0,0,0,3,0,1
4387,1803 101 2021 011 10 1,1801,10-11-21,BANJIR,Kec. Palas Ds. Titiwangi Ds. Banyumas Ds. Sinar Pasmah,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,?Dipicu hujan dengan intensitas tinggi,0,0,0,0,31,0
4403,1803 101 2021 011 8 1,1801,08-11-21,BANJIR,Kec. Sragi Ds. Bandar Agung,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,?Dipicu hujan dengan intensitas tinggi,0,0,0,0,286,0
4491,1803 101 2021 011 1 1,1801,01-11-21,BANJIR,Kec. Natar Ds. Sukadamai Ds. Tanjung Sari Ds. Branti Ds. Candimas,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,?Dipicu hujan dengan intensitas tinggi,0,0,0,0,398,0
4583,1802 101 2021 010 12 1,1806,12-10-21,BANJIR,Pekon Badak Kecamatan Limau Daerah Kabupaten Tanggamus,TANGGAMUS,LAMPUNG,Dokumentasi,,0,0,0,1,0,0
4752,1802 101 2021 08 31 1,1806,31-08-21,BANJIR,"Kec. Semaka , Ds. Sukaraja, Ds. Sedayu, Ds. Bangun Rejo, Ds. Pardawaras, Ds. Way Kerap",TANGGAMUS,LAMPUNG,Dokumentasi,"?Intensitas curah hujan yang cukup tinggi, sehingga aliran sungai meluap dan mengakibatkan tanggul sungai jebol pada hari Selasa, 31 Agustus 2021, Pkl. 03:15 WIB ?Tanggul sungai Way Sedayu jebol titik terparah terjdi dipekon/Ds. Sukaraja sehingga mengakibatkan aliran sungai pindah ke jalan/pasar",0,0,0,1,0,0
5317,1811 101 2021 03 12 1,1811,12-03-21,BANJIR,Kec. Simpang Pematang Ds. Bangun Mulyo,MESUJI,LAMPUNG,Dokumentasi,hujan dengan intensitas tinggi,0,0,0,0,0,0
5338,1811 101 2021 03 8 1,1811,08-03-21,BANJIR,Kec. Simpang Pematang Ds. Margo Makmur,MESUJI,LAMPUNG,Dokumentasi, Akibat hujan dengan intensitas tinggi,0,0,0,0,399,0
5367,1803 101 2021 03 3 1,1801,03-03-21,BANJIR,Desa Talang Baru Desa Sukabanjar Kec. Sidomulyo Kab. Lampung Selatan,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,,0,0,0,42,0,0
5451,1804 101 2021 02 16 1,1807,16-02-21,BANJIR,Desa Mekar Jaya Kec. Jabung Kab. Lampung Timur,LAMPUNG TIMUR,LAMPUNG,Dokumentasi,,0,0,0,99,0,0
5811,1809 101 2021 01 6 1,1809,06-01-21,BANJIR,6 Pekon meliputi : 1. Pardasuka 2. Selapan 3. Kedaung 4. Suka Negri 5. Tanjung Rusia 6. Tanjung Rusia Timur Kec. Pardasuka,PESAWARAN,LAMPUNG,Dokumentasi,,0,0,0,200,0,0
5826,1802 101 2021 01 5 1,1806,05-01-21,BANJIR,Dusun 1 Pekon Banjar Masin Kec. Bulok Kab. Tenggamus,TANGGAMUS,LAMPUNG,Dokumentasi,,0,0,0,22,0,0
6253,1802 101 2020 09 030 1,1806,30-09-20,BANJIR,Kec. Semaka Ds. Sedayu Ds. Sukaraja DS. Way Kewrap DS. Kacapura Ds. Kanoman Ds. Bangunrejo,TANGGAMUS,LAMPUNG,Dokumentasi,Akibat hujan dengan intensitas tinggi,0,0,0,1113,0,0
6351,1802 101 2020 08 013 1,1806,13-08-20,BANJIR,Kec. Kelumbayan Barat Ds. Lengkukai,TANGGAMUS,LAMPUNG,Dokumentasi, Akibat hujan dengan intensitas tinggi sehingga meluapnya sungai aliran kali yang merendam pemukiman warga,0,0,0,12,0,0
6352,1803 101 2020 08 013 1,1801,13-08-20,BANJIR,Kec. Katibung Ds. Rangai Tri Tunggal,LAMPUNG SELATAN,LAMPUNG,Dokumentasi, Sekira jam 17.15 WIB curah hujan terlalu tinggi dan air gunung datang cukup besar dan lama sehingga air gunung membawa batang kayu dan sampah,0,0,0,0,270,0
6358,1802 101 2020 08 04 1,1806,04-08-20,BANJIR,Kec. Semaka Ds. Way Kerap Ds. Karangrejo Ds. Kacapura Ds. Bangunrejo Ds. Sukaraja Ds. Kanoman Ds. Suka Jaya Ds. Pardawaras Ds. Sedayu  Ds. Sidodadi  Ds. Srikaton  Ds. Sidodadi,TANGGAMUS,LAMPUNG,Dokumentasi," Hujan deras yang terjadi sejak hari Selasa, 04 Agustus 2020, pukul 20.30 WIB sampai dengan pukul 22.00 WIB mengakibatkan limpahan air dari Bukit Barisan membawa material tanah lumpur serta batu yang merendam Ds. Way Kerap,  Ds. Karangrejo, Ds. Kacapura, Ds. Bangunrejo, Ds. Sukaraja, Ds. Kanoman, Ds. Suka Jaya",0,0,0,1166,0,3
6532,1809 101 2020 06 08 1,1809,08-06-20,BANJIR,Kec. Punduh Pedada Ds. Bawang Ds. Sukajaya Ds. Kota Jawa,PESAWARAN,LAMPUNG,Dokumentasi, Akibat hujan dengan intensitas tinggi,0,0,0,0,73,0
6569,1809 101 2020 05 031 1,1809,31-05-20,BANJIR,Kec. Punduh Pedada Ds. Suka Maju,PESAWARAN,LAMPUNG,Dokumentasi,Kec. Punduh Pedada Ds. Suka Maju,0,0,0,0,0,0
6570,1801 101 2020 05 031 1,1804,31-05-20,BANJIR,Kec. Sukau Ds. Hanakau,LAMPUNG BARAT,LAMPUNG,Dokumentasi, Akibat hujan dengan intensitas tinggi,0,0,0,0,6,0
6634,1801 101 2020 05 018 1,1804,18-05-20,BANJIR,Kec. Bandar Negeri Suoh  Ds. Tembelang,LAMPUNG BARAT,LAMPUNG,Dokumentasi, Akibat tingginya intensitas curah hujan di wilayah kecamatan bandar negeri suoh mengakibatkan banjir bandang,0,0,0,0,5,1
6705,1801 101 2020 05 03 1,1804,03-05-20,BANJIR,Kec. Suoh  Ds. Bumi Hantatai Ds. Banding Agung Ds. Tugu Ratu Kec. Bandar Negeri Suoh Ds. Tembelang  Ds. Tanjung Sari,LAMPUNG BARAT,LAMPUNG,Dokumentasi, Hujan dengan intensitas tinggi,0,0,0,0,132,1
6706,1801 101 2020 05 03 1,1804,03-05-20,BANJIR,Kec. Batu Brak Pekon Kerang Pemangku 1 Pemangko 3 Kec. Belalau Pekon Bedudu,LAMPUNG BARAT,LAMPUNG,Dokumentasi, Akibat intensitas hujan yang cukup tinggi mengakibatkan aliran Way semangka meluap,0,0,0,0,16,1
6707,1801 101 2020 05 03 1,1804,03-05-20,BANJIR,Kec. Sukau Ds. Pagar Dewa Kec. Sumberjaya Ds. Suka Jaya,LAMPUNG BARAT,LAMPUNG,Dokumentasi, Hujan dengan intensitas tinggi,0,0,0,0,0,0
6768,1807 101 2020 04 016 1,1808,16-04-20,BANJIR,Kec. Negeri Agung Ds. Negeri Agung,WAY KANAN,LAMPUNG,Dokumentasi, Akibat hujan dengan intensitas tinggi dan meluapnya sungai way kanan,0,0,0,0,25,0
6851,1809 101 2020 03 031 1,1809,31-03-20,BANJIR,Kec Teluk Pandan Desa Batu Menyan,PESAWARAN,LAMPUNG,Dokumentasi,,0,0,0,0,30,0
6855,1871 101 2020 03 031 1,1871,31-03-20,BANJIR,Kec. Teluk Betung Timur Kel. Sukamaju Kel. Keteguhan,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi, Hujan dengan intensitas tinggi,0,0,0,968,0,0
6907,1809 101 2020 03 016 1,1809,16-03-20,BANJIR,Kec. Gedong Tataan  Ds. Wiyono  Ds. Bagelen  Ds. Kutoarjo Ds. Karang Anyar Kec. Negeri Katon  Ds. Kagungan Ratu,PESAWARAN,LAMPUNG,Dokumentasi, Akibat hujan dengan intensitas tinggi,0,0,0,0,484,0
6975,1871 101 2020 03 02 1,1871,02-03-20,BANJIR,Kec Sukabumi kel Kali Balau,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,,0,0,0,0,50,0
7068,1808 101 2020 02 021 1,1805,21-02-20,BANJIR,Kec Menggala Kel Menggala lingkungan bugis Lingkungan Palembang Kec Gedung Menteng Kampung Bakung Udik,TULANG BAWANG,LAMPUNG,Dokumentasi,,0,0,0,1,701,0
7325,1801 101 2020 01 025 1,1804,25-01-20,BANJIR,Kec. Bandar Negeri Suoh Bandar Tempel Pekon Srimulyo Dsn. Ketapang Pekon Bandar Agung Pekon Tanjung Sari,LAMPUNG BARAT,LAMPUNG,Dokumentasi, akibat intensitas hujan yang tinggi mengakibatkan banjir,0,0,0,0,190,0
7329,1813 101 2020 01 024 1,1813,24-01-20,BANJIR,Kec Pesisir Selatan Desa Pekon Sukarame Pekon Tenumbang,PESISIR BARAT,LAMPUNG,Dokumentasi,,0,0,0,0,50,0
7337,1809 101 2020 01 023 1,1809,23-01-20,BANJIR,Kec. Gedong Tataan Ds. Bagelen Ds. Sukaraja Ds. Gedong Tataan Ds. Karang Anyar Kec. Way Lima Ds. Batu Raja Kec. Negeri Katon Ds. Kagungan Ratu Ds. Purworejo,PESAWARAN,LAMPUNG,Dokumentasi, Akibat hujan dengan intensitas tinggi,0,0,0,0,2000,0
7338,1813 101 2020 01 023 1,1813,23-01-20,BANJIR,Kec. Pesisr Selatan Ds. Sukarame Ds. Tenumbang,PESISIR BARAT,LAMPUNG,Dokumentasi, Akibat hujan dengan intensitas tinggi,0,0,0,0,40,0
7359,1804 101 2020 01 018 1,1807,18-01-20,BANJIR,Kec. Pasir Sakti Ds. Sumur Kucing Dsn. Pematang Panjang,LAMPUNG TIMUR,LAMPUNG,Dokumentasi, Hujan dengan intensitas tinggi,0,0,0,0,12,0
7397,1813 101 2020 01 09 1,1813,09-01-20,BANJIR,Desa Gunung Kemala Induk Desa Gunung Kemala Timur Desa Bumi Waras Desa Pasar Kota Desa Negeri Ratu Ngambur Desa Ngaras,PESISIR BARAT,LAMPUNG,Dokumentasi,,0,0,0,0,176,0
7399,1802 101 2020 01 09 1,1806,09-01-20,BANJIR,Kec. Semaka Ds. Sedayu Ds. Way Kerap Ds. Bangun Rejo Ds. Pardawaras Ds. Karang Rejo Ds. Garut Ds. Sidodadi Ds. Sudimoro Ds. Sripurnomo  Ds. Kanoman Ds. Kaca Pura Ds. Suka Raja,TANGGAMUS,LAMPUNG,Dokumentasi, Intensitas curah hujan yang cukup tinggi hingga   menyebabkan Sungai Way Semaka meluap,0,0,0,688,0,0
7409,1803 101 2020 01 08 1,1801,08-01-20,BANJIR,Kec Sidomulya Desa Sidomulya Desa Sidorejo Desa Sidowaluyo Desa Talang Baru Desa Sidodadi,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,,0,0,0,0,127,0
7473,,1804,31-12-19,BANJIR,Kec. Kebun Tebu Ds. Muara Baru Ds. Purawiwitan Ds. Ciptamulya,LAMPUNG BARAT,LAMPUNG,Dokumentasi, Akibat hujan dengan intensitas tinggi,,,,31,3,0
7690,,1804,28-05-19,BANJIR,Kec. Sukau Ds. Buay Nyerupa,LAMPUNG BARAT,LAMPUNG,Dokumentasi, Akibat intensitas hujan yang cukup tinggi mengakibatkan irigasi tanggul jebol,,,,0,5,0
7806,,1809,19-04-19,BANJIR,Kec. Way Ratai Ds. Bunut Kec. Padang Cermin,PESAWARAN,LAMPUNG,Dokumentasi, Hujan dengan intensitas tinggi,1,,,0,1212,0
8016,,1806,04-03-19,BANJIR,Kec. Pugung Pekon Tanjung Agung Pekon Suka Mulya Pekon Sumanda Pekon Gading Pekon Suykamaju Pekon Pungkut,TANGGAMUS,LAMPUNG,Dokumentasi, Terajadi hujan deras dengan intensitas tinggi di wilayah Kerc. Puging sehingga meningkatnya debit aliran sungai dan meluap kepermukiman warga serta terdapat struktur tanah labil,,,,35,137,2
8049,,1805,24-02-19,BANJIR,Kec. Menggala Kec. Menggala Timur Kec. Gedung Meneng Kec. Gedung Aji,TULANG BAWANG,LAMPUNG,Dokumentasi, Akibat hujan intensitas tinggi,1,,,0,1277,0
8077,,1802,17-02-19,BANJIR,Kec. Anak Tuha Kec. Bekri Kec. Sendang Agung Kec. Padang Ratu Kec. Way Pengubuan Kec. Pubian Kec. Seputih Surabaya,LAMPUNG TENGAH,LAMPUNG,Dokumentasi, Akibat hujan dengan intensitas tinggi,,,,0,101,3
8082,,1871,16-02-19,BANJIR,Kec. Sukarame Kec. Tanjung Karang Barat Kec. Teluk Betung Barat Kec. Bumi Waras Kec. Kedamaian Kec. Way Halim Kec. Labuhan Ratu Kec. Sukabumi Kec. Kedaton,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi, Akibat hujan dengan intensitas tinggi,,,,2,2528,4
8093,,1808,15-02-19,BANJIR,Kec. Negeri Agung Kp. Bandar Dalam Kp. Negeri Agung Kp. Pulau Batu Kp. Penengahan Kp. Sunsang Kp. Kotabaru Kp. Kotabumi Way Kanan  Kec. Pakuan Batu Kp. Rumbi,WAY KANAN,LAMPUNG,Dokumentasi, hujan deras dan meluapnya sungai Way Umpu dan Way Besar,,,,0,3,0
8096,,1804,14-02-19,BANJIR,Kec. Sukau Ds. Pagar Dewa Kec. Sikancau Ds. Sidomulyo Kec. Way Tenong Ds. Sidodadi,LAMPUNG BARAT,LAMPUNG,Dokumentasi," Akibat tingginya intensitas hujan sehingga terjadi beberapa titik lonsor kecil yang menutupi aliran sungai Way Mayus, Way Suro Rukoh dan Way Tanjung Kurung yang mengakibatkan Banjir.",,,,0,,30
8202,,1806,20-01-19,BANJIR,Kec. Bandar Negeri Ds. Raja Basa,TANGGAMUS,LAMPUNG,Dokumentasi, Akibat hujan dengan intensitas tinggi,,,,0,300,0
8359,1.8021E+15,1806,01-12-18,BANJIR,,TANGGAMUS,LAMPUNG,Dokumentasi,,0,0,0,0,2000,0
8365,1.8031E+15,1801,30-11-18,BANJIR,,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,,0,0,0,0,1000,0
8431,1.8021E+15,1806,07-11-18,BANJIR,,TANGGAMUS,LAMPUNG,Dokumentasi,,1,0,0,148,100,0
8441,1.8131E+15,1813,06-11-18,BANJIR,,PESISIR BARAT,LAMPUNG,Dokumentasi,,0,0,0,0,250,0
8464,1.8131E+15,1813,31-10-18,BANJIR,,PESISIR BARAT,LAMPUNG,Dokumentasi,,0,0,0,10,0,0
8467,1.8021E+15,1806,29-10-18,BANJIR,,TANGGAMUS,LAMPUNG,Dokumentasi,,0,0,0,0,0,1
8548,1.8011E+15,1804,31-08-18,BANJIR,,LAMPUNG BARAT,LAMPUNG,Dokumentasi,,0,0,0,0,0,1
8605,1.8131E+15,1813,24-06-18,BANJIR,,PESISIR BARAT,LAMPUNG,Dokumentasi,,0,0,0,0,0,0
8700,1.8011E+15,1804,23-04-18,BANJIR,,LAMPUNG BARAT,LAMPUNG,Dokumentasi,,2,1,0,2,31,4
8738,1.8031E+15,1801,04-04-18,BANJIR,,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,,1,0,3,25,55,5
8741,1.8011E+15,1804,03-04-18,BANJIR,,LAMPUNG BARAT,LAMPUNG,Dokumentasi,,0,0,0,0,55,2
8810,1.8041E+15,1807,15-03-18,BANJIR,,LAMPUNG TIMUR,LAMPUNG,Dokumentasi,,0,0,0,0,412,0
8862,1.8031E+15,1801,07-03-18,BANJIR,,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,,0,0,0,0,376,0
8869,1.8041E+15,1807,06-03-18,BANJIR,,LAMPUNG TIMUR,LAMPUNG,Dokumentasi,,0,0,0,0,0,0
8898,1.8041E+15,1807,26-02-18,BANJIR,,LAMPUNG TIMUR,LAMPUNG,Dokumentasi,,2,0,0,111,429,0
8901,1.8051E+15,1802,26-02-18,BANJIR,,LAMPUNG TENGAH,LAMPUNG,Dokumentasi,,7,0,0,0,630,4
8918,1.8071E+15,1808,23-02-18,BANJIR,,WAY KANAN,LAMPUNG,Dokumentasi,,0,0,0,0,700,0
9343,1.8021E+15,1806,26-10-17,BANJIR,,TANGGAMUS,LAMPUNG,Dokumentasi,,0,0,0,29,20,0
9366,1.8131E+15,1813,11-10-17,BANJIR,,PESISIR BARAT,LAMPUNG,Dokumentasi,,1,0,0,0,1000,0
